model,lr,hidden_size,batch_size,pooling_style,epoch,acc,execution_time
rnn,0.0001,128,64,max,10,0.754081973,0.634304047
rnn,0.0001,128,64,max,11,0.757080973,0.63530159
rnn,0.0001,128,64,max,12,0.765411529,0.631312132
rnn,0.0001,128,64,max,13,0.782072642,0.646272898
rnn,0.0001,128,64,max,14,0.782405865,0.63330698
rnn,0.0001,128,64,max,15,0.782405865,0.633306742
rnn,0.0001,128,128,avg,1,0.578807064,0.329076767
rnn,0.0001,128,128,avg,2,0.666777741,0.328122854
rnn,0.0001,128,128,avg,3,0.701766078,0.332112312
rnn,0.0001,128,128,avg,4,0.715428191,0.329120159
rnn,0.0001,128,128,avg,5,0.719093635,0.329119682
rnn,0.0001,128,128,avg,6,0.724091969,0.33310914
rnn,0.0001,128,128,avg,7,0.731089637,0.329120636
rnn,0.0001,128,128,avg,8,0.74041986,0.331114531
rnn,0.0001,128,128,avg,9,0.742752416,0.330117702
rnn,0.0001,128,128,avg,10,0.748750417,0.373999834
rnn,0.0001,128,128,avg,11,0.753415528,0.34507823
rnn,0.0001,128,128,avg,12,0.763745418,0.397936106
rnn,0.0001,128,128,avg,13,0.773408864,0.683173656
rnn,0.0001,128,128,avg,14,0.77874042,0.353055716
rnn,0.0001,128,128,avg,15,0.783072309,0.330117702
rnn,0.0001,128,128,max,1,0.675774742,0.390912294
rnn,0.0001,128,128,max,2,0.684771743,0.391952515
rnn,0.0001,128,128,max,3,0.689103632,0.419877529
rnn,0.0001,128,128,max,4,0.69176941,0.395941734
rnn,0.0001,128,128,max,5,0.700099967,0.393946886
rnn,0.0001,128,128,max,6,0.700766411,0.507642984
rnn,0.0001,128,128,max,7,0.707430856,0.390954256
rnn,0.0001,128,128,max,8,0.71976008,0.409904003
rnn,0.0001,128,128,max,9,0.719093635,0.446805716
rnn,0.0001,128,128,max,10,0.725424858,0.394944191
rnn,0.0001,128,128,max,11,0.729090303,0.397936583
rnn,0.0001,128,128,max,12,0.737087637,0.393947124
rnn,0.0001,128,128,max,13,0.744418527,0.40392065
rnn,0.0001,128,128,max,14,0.755081639,0.394943714
rnn,0.0001,128,128,max,15,0.752749084,0.393947363
rnn,0.0001,768,64,avg,1,0.724425192,2.632918596
rnn,0.0001,768,64,avg,2,0.783072309,2.60802722
rnn,0.0001,768,64,avg,3,0.812062646,2.610022306
rnn,0.0001,768,64,avg,4,0.822059314,2.800513029
rnn,0.0001,768,64,avg,5,0.830056648,2.764608383
rnn,0.0001,768,64,avg,6,0.83338887,2.618998051
rnn,0.0001,768,64,avg,7,0.837387537,2.605034828
rnn,0.0001,768,64,avg,8,0.840386538,2.823450565
rnn,0.0001,768,64,avg,9,0.841719427,2.839409351
rnn,0.0001,768,64,avg,10,0.841719427,2.702774286
rnn,0.0001,768,64,avg,11,0.843052316,2.64093852
rnn,0.0001,768,64,avg,12,0.844385205,2.645925283
rnn,0.0001,768,64,avg,13,0.846717761,2.618000746
rnn,0.0001,768,64,avg,14,0.845718094,2.633957624
rnn,0.0001,768,64,avg,15,0.844051983,2.620992899
rnn,0.0001,768,64,max,1,0.684105298,3.325066805
rnn,0.0001,768,64,max,2,0.728423859,3.111680031
rnn,0.0001,768,64,max,3,0.754748417,3.254299164
rnn,0.0001,768,64,max,4,0.80673109,3.650239944
rnn,0.0001,768,64,max,5,0.818393869,4.07410717
rnn,0.0001,768,64,max,6,0.826391203,3.254298687
rnn,0.0001,768,64,max,7,0.823392203,3.020923376
rnn,0.0001,768,64,max,8,0.814061979,3.148581505
rnn,0.0001,768,64,max,9,0.838387204,2.954101563
rnn,0.0001,768,64,max,10,0.837387537,2.97305131
rnn,0.0001,768,64,max,11,0.837387537,2.957093716
rnn,0.0001,768,64,max,12,0.839720093,2.957093477
rnn,0.0001,768,64,max,13,0.841386205,2.989008665
rnn,0.0001,768,64,max,14,0.844385205,2.959088087
rnn,0.0001,768,64,max,15,0.839053649,2.965072632
rnn,0.0001,768,128,avg,1,0.711429523,1.659520149
rnn,0.0001,768,128,avg,2,0.736754415,1.635627031
rnn,0.0001,768,128,avg,3,0.773408864,1.604709864
rnn,0.0001,768,128,avg,4,0.795068311,1.601717472
rnn,0.0001,768,128,avg,5,0.805731423,1.611691475
rnn,0.0001,768,128,avg,6,0.817394202,1.602714777
rnn,0.0001,768,128,avg,7,0.827057647,1.599723339
rnn,0.0001,768,128,avg,8,0.828390536,1.625653982
rnn,0.0001,768,128,avg,9,0.833722093,1.601718187
rnn,0.0001,768,128,avg,10,0.834055315,1.599723339
rnn,0.0001,768,128,avg,11,0.833722093,1.614682913
rnn,0.0001,768,128,avg,12,0.835388204,1.605707169
rnn,0.0001,768,128,avg,13,0.838720427,1.612689018
rnn,0.0001,768,128,avg,14,0.84071976,1.617675781
rnn,0.0001,768,128,avg,15,0.842385871,1.626651287
rnn,0.0001,768,128,max,1,0.692435855,1.949743271
rnn,0.0001,768,128,max,2,0.713428857,2.061488867
rnn,0.0001,768,128,max,3,0.754415195,1.951781511
rnn,0.0001,768,128,max,4,0.763412196,1.946794987
rnn,0.0001,768,128,max,5,0.796067977,1.9667418
rnn,0.0001,768,128,max,6,0.801732756,1.940811396
rnn,0.0001,768,128,max,7,0.800733089,1.951781034
rnn,0.0001,768,128,max,8,0.812395868,1.941808224
rnn,0.0001,768,128,max,9,0.815061646,2.196128607
rnn,0.0001,768,128,max,10,0.82005998,2.23602128
