model_type,learning_rate,hidden_size,batch_size,pooling_style,acc,time
bert,0.0001,768,128,avg,0.8932443703085905,3036.113276720047
bert,0.0001,768,128,max,0.9040867389491243,3426.5870401859283
lstm,0.001,128,64,avg,0.890325271059216,65.4252438545227
lstm,0.001,128,64,max,0.8857381150959133,130.18258023262024
lstm,0.001,128,128,avg,0.8865721434528774,184.09440851211548
lstm,0.001,128,128,max,0.8828190158465388,237.27236437797546
lstm,0.001,256,64,avg,0.8924103419516264,386.2059967517853
lstm,0.001,256,64,max,0.8986655546288573,533.9321279525757
lstm,0.001,256,128,avg,0.8924103419516264,657.541609287262
lstm,0.001,256,128,max,0.9015846538782318,780.753312587738
lstm,0.0001,128,64,avg,0.8632193494578816,842.072327375412
lstm,0.0001,128,64,max,0.8640533778148457,903.429253578186
lstm,0.0001,128,128,avg,0.8365304420350292,956.0278472900391
lstm,0.0001,128,128,max,0.8294412010008341,1008.1378617286682
lstm,0.0001,256,64,avg,0.8798999165971643,1155.2794411182404
lstm,0.0001,256,64,max,0.8865721434528774,1302.6591620445251
lstm,0.0001,256,128,avg,0.8732276897414513,1425.9573953151703
lstm,0.0001,256,128,max,0.8828190158465388,1549.0390799045563
gru,0.001,128,64,avg,0.8894912427022519,52.89317059516907
gru,0.001,128,64,max,0.8953294412010009,105.807936668396
gru,0.001,128,128,avg,0.8853211009174312,149.4067041873932
gru,0.001,128,128,max,0.8886572143452878,193.2004656791687
gru,0.001,256,64,avg,0.8932443703085905,298.69437074661255
gru,0.001,256,64,max,0.8953294412010009,404.22190523147583
gru,0.001,256,128,avg,0.8932443703085905,500.0549478530884
gru,0.001,256,128,max,0.8878231859883235,594.7737808227539
gru,0.0001,128,64,avg,0.8653044203502919,647.0876286029816
gru,0.0001,128,64,max,0.8565471226021685,699.3964912891388
gru,0.0001,128,128,avg,0.8490408673894912,744.0147643089294
gru,0.0001,128,128,max,0.853628023352794,787.3409576416016
gru,0.0001,256,64,avg,0.8761467889908257,894.6157615184784
gru,0.0001,256,64,max,0.8861551292743953,1002.8266406059265
gru,0.0001,256,128,avg,0.8769808173477899,1104.143354177475
gru,0.0001,256,128,max,0.8769808173477899,1203.6613507270813
gated_cnn,0.001,128,64,avg,0.8869891576313594,11.753417491912842
gated_cnn,0.001,128,64,max,0.896580483736447,24.34310793876648
gated_cnn,0.001,128,128,avg,0.8924103419516264,37.99988412857056
gated_cnn,0.001,128,128,max,0.8865721434528774,51.72686266899109
gated_cnn,0.001,256,64,avg,0.890742285237698,91.28040528297424
gated_cnn,0.001,256,64,max,0.8861551292743953,130.99690127372742
gated_cnn,0.001,256,128,avg,0.8865721434528774,164.4510464668274
gated_cnn,0.001,256,128,max,0.8990825688073395,197.91329979896545
gated_cnn,0.0001,128,64,avg,0.8369474562135113,209.79715728759766
gated_cnn,0.0001,128,64,max,0.859466221851543,221.5753083229065
gated_cnn,0.0001,128,128,avg,0.8127606338615513,235.26493763923645
gated_cnn,0.0001,128,128,max,0.8494578815679733,248.95115566253662
gated_cnn,0.0001,256,64,avg,0.8603002502085071,288.73048853874207
gated_cnn,0.0001,256,64,max,0.8836530442035029,330.6246943473816
gated_cnn,0.0001,256,128,avg,0.8423686405337781,365.6486141681671
gated_cnn,0.0001,256,128,max,0.8794829024186822,400.6383683681488
rcnn,0.001,128,64,avg,0.8769808173477899,23.009082078933716
rcnn,0.001,128,64,max,0.8894912427022519,46.31268858909607
rcnn,0.001,128,128,avg,0.8773978315262719,71.77428340911865
rcnn,0.001,128,128,max,0.8815679733110926,97.39774799346924
rcnn,0.001,256,64,avg,0.8836530442035029,159.93787908554077
rcnn,0.001,256,64,max,0.8849040867389492,223.51903367042542
rcnn,0.001,256,128,avg,0.8919933277731443,278.13833832740784
rcnn,0.001,256,128,max,0.8899082568807339,334.7208888530731
rcnn,0.0001,128,64,avg,0.8331943286071727,358.2191174030304
rcnn,0.0001,128,64,max,0.8432026688907422,381.904904127121
rcnn,0.0001,128,128,avg,0.8110925771476231,407.96657538414
rcnn,0.0001,128,128,max,0.823185988323603,434.2217631340027
rcnn,0.0001,256,64,avg,0.8665554628857381,496.46652364730835
rcnn,0.0001,256,64,max,0.8769808173477899,558.7964832782745
rcnn,0.0001,256,128,avg,0.8486238532110092,613.1582725048065
rcnn,0.0001,256,128,max,0.859883236030025,666.9609186649323
