duration,acc,model,model_type,learning_rate,hidden_size,batch_size,pooling_style
46.697731733322144,0.8477263245723822,bert,bert,0.001,128,128,avg
55.45477557182312,0.8765123070504798,bert,bert,0.0001,128,64,avg
46.35330319404602,0.8819357530246141,bert,bert,0.0001,128,128,avg
55.45118808746338,0.8915310805173133,bert,bert,1e-05,128,64,avg
46.20049524307251,0.885273258239466,bert,bert,1e-05,128,128,avg
70.68454933166504,0.853566958698373,bert_lstm,bert_lstm,0.001,128,64,avg
58.927165031433105,0.8531497705465165,bert_lstm,bert_lstm,0.001,128,128,avg
70.23715353012085,0.8719232373800584,bert_lstm,bert_lstm,0.0001,128,64,avg
58.74836826324463,0.8823529411764706,bert_lstm,bert_lstm,0.0001,128,128,avg
70.11416721343994,0.8798498122653317,bert_lstm,bert_lstm,1e-05,128,64,avg
58.05718493461609,0.8873591989987485,bert_lstm,bert_lstm,1e-05,128,128,avg
59.86913537979126,0.8581560283687943,bert_cnn,bert_cnn,0.001,128,64,avg
49.21280121803284,0.8506466416353775,bert_cnn,bert_cnn,0.001,128,128,avg
60.67626762390137,0.8702544847726325,bert_cnn,bert_cnn,0.0001,128,64,avg
50.83122396469116,0.8719232373800584,bert_cnn,bert_cnn,0.0001,128,128,avg
59.62188792228699,0.8677513558614935,bert_cnn,bert_cnn,1e-05,128,64,avg
49.83746027946472,0.8765123070504798,bert_cnn,bert_cnn,1e-05,128,128,avg
53.28583002090454,0.8635794743429287,bert_mid_layer,bert_mid_layer,0.001,128,64,avg
45.99323344230652,0.8677513558614935,bert_mid_layer,bert_mid_layer,0.001,128,128,avg
54.58523869514465,0.8598247809762203,bert_mid_layer,bert_mid_layer,0.0001,128,64,avg
44.83815670013428,0.8639966624947851,bert_mid_layer,bert_mid_layer,0.0001,128,128,avg
54.076287031173706,0.8819357530246141,bert_mid_layer,bert_mid_layer,1e-05,128,64,avg
45.304831743240356,0.8865248226950354,bert_mid_layer,bert_mid_layer,1e-05,128,128,avg
